key,value
"Residence/Home",1906811
"Highway/Road/Alley/Street/Sidewalk",766800
"Parking/Drop Lot/Garage",207498
"Other/Unknown",102166
"Hotel/Motel/Etc.",58667
"Bar/Nightclub",50284
"Convenience Store",44796
"Restaurant",42556
"Park/Playground",41242
"Service/Gas Station",37710
"School-Elementary/Secondary",36782
"Jail/Prison/Penitentiary/Corrections Facility",35968
"Drug Store/Doctor's Office/Hospital",28339
"Commercial/Office Building",25157
"Field/Woods",18286
"Grocery/Supermarket",17335
"Department/Discount Store",16286
"Specialty Store",15324
"Air/Bus/Train Terminal",13184
"Government/Public Building",12959
"Shelter-Mission/Homeless",7237
"School-College/University",6152
"Shopping Mall",5769
"School/College",4832
"Liquor Store",4580
"Camp/Campground",4539
"Church/Synagogue/Temple/Mosque",4467
"Construction Site",4115
"Lake/Waterway/Beach",3306
"Rental Storage Facility",3262
"Tribal Lands",3120
"Gambling Facility/Casino/Race Track",2749
"Community Center",2582
"Arena/Stadium/Fairgrounds/Coliseum",2230
"Industrial Site",2125
"Daycare Facility",1857
"Bank/Savings and Loan",1824
"Auto Dealership New/Used",1730
"Abandoned/Condemned Structure",1295
"Amusement Park",1252
"Rest Area",1113
"Dock/Wharf/Freight/Modal Terminal",1095
"Farm Facility",737
"ATM Separate from Bank",276
"Military Installation",210
"Cyberspace",0
"Not Specified",0
