key,value
"Handgun",735003
"Personal Weapons",683344
"Knife/Cutting Instrument",563749
"Firearm",458069
"Other",341103
"Blunt Object",340309
"Motor Vehicle/Vessel",187306
"Asphyxiation",102231
"None",89285
"Unknown",73712
"Rifle",63026
"Other Firearm",35281
"Shotgun",24374
"Handgun (Automatic)",21086
"Firearm (Automatic)",11110
"Fire/Incendiary Device",8427
"Drugs/Narcotics/Sleeping Pills",5735
"Poison",3958
"Rifle (Automatic)",3537
"Explosives",2130
"Other Firearm (Automatic)",830
"Shotgun (Automatic)",316
"Club/Blackjack/Brass Knuckles",2
"Lethal Cutting Instrument",1
"Drowning",0
"Pushed or Thrown Out Window",0
"Strangulation - Include Hanging",0
"Unarmed",0
