key,value
"Relationship Unknown",918304
"Stranger",673149
"Boyfriend/Girlfriend",464188
"Acquaintance",445969
"Otherwise Known",324843
"Spouse",149632
"Child",118221
"Ex-Relationship (Ex-Boyfriend/Girlfriend)",107319
"Other Family Member",90047
"Offender",89839
"Parent",88558
"Sibling",82069
"Neighbor",79824
"Friend",77264
"Ex-Spouse",32753
"Common-Law Spouse",18152
"In-law",16395
"Stepchild",14426
"Stepparent",11873
"Child of Boyfriend or Girlfriend",11419
"Grandparent",8879
"Employee",6016
"Grandchild",5993
"Employer",3044
"Stepsibling",2237
"Babysittee",1954
"Cohabitant (non-intimate relationship)",705
"Homosexual Relationship",111
"Foster Child",18
"Foster Parent",17
